name,team,match_id,shots,passing,chances,crossing,set_piece,take_ons,tackles,aerial_duels,interceptions,clearance,fouls,cards,throw_ins,blocks,gk,goal,own_goal,date,stadium,league,did_play,did_start,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,score
Csar Azpilicueta,CHELSEA,MANUTDvCHELSEA,0,78%,1,2,0,0,0%,60%,2,1,0,0,9,1,0,0,0,16.04.2017,Old Trafford,English Premier League,1,1,0,3,4,3,4,-3,-2,-2,-1,-3,-5,-1,3,6,10,13,10,11,12,2v0
David Luiz,CHELSEA,MANUTDvCHELSEA,0,80%,0,0,0,2,33%,100%,2,2,1,0,0,1,0,0,0,16.04.2017,Old Trafford,English Premier League,1,1,0,-3,-10,-10,-12,-6,-5,-1,4,4,-2,0,-2,1,-6,-4,1,1,2,2v0
N'Golo Kant,CHELSEA,MANUTDvCHELSEA,0,92%,0,0,0,1,30%,0%,7,1,3,0,0,3,0,0,0,16.04.2017,Old Trafford,English Premier League,1,1,0,-1,2,3,4,1,11,9,6,4,1,6,8,16,9,6,-1,2,7,2v0
Eden Hazard,CHELSEA,MANUTDvCHELSEA,0,78%,1,2,0,0,0%,50%,1,0,0,0,0,0,0,0,0,16.04.2017,Old Trafford,English Premier League,1,1,0,0,-4,-6,-6,-5,-3,0,5,5,6,9,2,7,7,11,11,9,5,2v0
Victor Moses,CHELSEA,MANUTDvCHELSEA,0,50%,0,1,0,1,100%,33%,1,0,1,0,4,0,0,0,0,16.04.2017,Old Trafford,English Premier League,1,1,0,0,0,-1,-2,-7,-11,-12,-15,-12,-13,-13,-13,-13,-13,-13,-13,-13,-15,2v0
Nemanja Matic,CHELSEA,MANUTDvCHELSEA,0,70%,1,0,0,1,0%,0%,2,0,1,0,0,0,0,0,0,16.04.2017,Old Trafford,English Premier League,1,1,0,2,2,1,-4,-5,-14,-13,-15,-10,-12,-9,-8,-14,-14,-14,-14,-14,-9,2v0
Pedro,CHELSEA,MANUTDvCHELSEA,4,79%,0,3,0,1,25%,33%,1,0,3,0,0,3,0,0,0,16.04.2017,Old Trafford,English Premier League,1,1,0,-1,-6,-5,-18,-20,-20,-20,-19,-24,-22,-33,-35,-29,-28,-25,-24,-21,-22,2v0
Diego Costa,CHELSEA,MANUTDvCHELSEA,1,79%,0,0,0,2,0%,0%,0,0,5,1,0,0,0,0,0,16.04.2017,Old Trafford,English Premier League,1,1,0,0,-3,-6,-3,-11,-19,-32,-38,-42,-39,-41,-44,-51,-56,-52,-53,-58,-57,2v0
Eduardo,CHELSEA,MANUTDvCHELSEA,0,0%,0,0,0,0,0%,0%,0,0,0,0,0,0,0,0,0,16.04.2017,Old Trafford,English Premier League,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2v0
Nathan Ak,CHELSEA,MANUTDvCHELSEA,0,0%,0,0,0,0,0%,0%,0,0,0,0,0,0,0,0,0,16.04.2017,Old Trafford,English Premier League,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2v0
John Terry,CHELSEA,MANUTDvCHELSEA,0,0%,0,0,0,0,0%,0%,0,0,0,0,0,0,0,0,0,16.04.2017,Old Trafford,English Premier League,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2v0
Cesc F_bregas,CHELSEA,MANUTDvCHELSEA,0,73%,0,3,0,0,25%,0%,0,0,1,1,0,1,0,0,0,16.04.2017,Old Trafford,English Premier League,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,9,7,-3,-2,-19,2v0
Ruben Loftus-Cheek,CHELSEA,MANUTDvCHELSEA,0,100%,0,0,0,0,0%,0%,0,1,1,0,0,0,0,0,0,16.04.2017,Old Trafford,English Premier League,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-5,2v0
Willian,CHELSEA,MANUTDvCHELSEA,0,86%,0,1,0,0,0%,0%,0,0,0,0,1,0,0,0,0,16.04.2017,Old Trafford,English Premier League,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-1,-2,-1,3,2v0
Michy Batshuayi,CHELSEA,MANUTDvCHELSEA,0,0%,0,0,0,0,0%,0%,0,0,0,0,0,0,0,0,0,16.04.2017,Old Trafford,English Premier League,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2v0
Ben Foster,WBA,WBAvLIVERPOOL,0,60%,0,0,0,0,0%,0%,0,1,0,0,0,0,1,0,0,16.04.2017,The Hawthorns,English Premier League,1,1,0,0,-2,-2,-1,3,3,3,3,-15,3,3,2,1,3,4,3,2,-20,0v1
Jonny Evans,WBA,WBAvLIVERPOOL,0,78%,0,0,0,2,0%,100%,0,5,4,1,0,2,0,0,0,16.04.2017,The Hawthorns,English Premier League,1,1,0,1,0,2,0,0,-8,-6,-9,-18,-9,-8,-5,-7,-17,-16,-16,-16,-17,0v1
Gareth McAuley,WBA,WBAvLIVERPOOL,0,75%,0,1,0,0,50%,100%,2,5,0,0,1,0,0,0,0,16.04.2017,The Hawthorns,English Premier League,1,1,0,-1,3,10,9,9,11,11,12,5,13,11,16,16,19,16,18,15,8,0v1
Craig Dawson,WBA,WBAvLIVERPOOL,0,50%,0,2,0,0,50%,40%,1,3,3,0,9,1,0,0,0,16.04.2017,The Hawthorns,English Premier League,1,1,0,-2,-5,-7,-5,-7,-7,-8,-8,-15,-11,-13,-9,-9,-7,-7,-4,-6,-13,0v1
Claudio Yacob,WBA,WBAvLIVERPOOL,0,68%,0,0,0,0,40%,0%,2,1,0,0,0,1,0,0,0,16.04.2017,The Hawthorns,English Premier League,1,1,0,0,-5,-5,0,-7,-5,-7,-9,-9,-13,-10,-10,-17,-17,-17,-17,-17,-17,0v1
Jake Livermore,WBA,WBAvLIVERPOOL,1,79%,2,0,0,1,20%,100%,0,0,1,0,0,3,0,0,0,16.04.2017,The Hawthorns,English Premier League,1,1,0,1,2,8,7,10,13,13,14,14,9,10,-6,-12,-14,-16,-18,-18,-16,0v1
Matt Phillips,WBA,WBAvLIVERPOOL,3,76%,0,7,0,3,100%,25%,1,1,1,0,2,3,0,0,0,16.04.2017,The Hawthorns,English Premier League,1,1,0,-1,-1,-4,-7,-13,-17,-18,-22,-22,-22,-15,-18,-19,-18,-21,-12,-15,-21,0v1
Chris Brunt,WBA,WBAvLIVERPOOL,0,73%,1,8,0,0,40%,60%,0,3,1,1,9,3,0,0,0,16.04.2017,The Hawthorns,English Premier League,1,1,0,-4,-4,-5,-4,-3,-9,-11,-10,-37,-19,-16,-14,-16,-17,-15,-17,-7,-30,0v1
Nacer Chadli,WBA,WBAvLIVERPOOL,0,56%,0,1,0,0,40%,0%,0,0,0,0,1,0,0,0,0,16.04.2017,The Hawthorns,English Premier League,1,1,0,2,3,2,3,0,-14,-13,-10,-12,-13,-15,-22,-22,-22,-22,-22,-22,-22,0v1
Darren Fletcher,WBA,WBAvLIVERPOOL,1,75%,1,0,0,4,0%,100%,0,1,1,0,0,1,0,0,0,16.04.2017,The Hawthorns,English Premier League,1,1,0,-1,-3,1,3,3,3,1,1,0,-2,-2,-17,-17,-16,-21,-20,-24,-25,0v1
Hal Robson-Kanu,WBA,WBAvLIVERPOOL,2,56%,0,0,0,1,0%,50%,1,1,4,1,0,1,0,0,0,16.04.2017,The Hawthorns,English Premier League,1,1,0,-5,-9,-9,-13,-15,-11,-2,-4,-5,-14,-14,-15,-18,-18,-18,-18,-18,-18,0v1
Boaz Myhill,WBA,WBAvLIVERPOOL,0,0%,0,0,0,0,0%,0%,0,0,0,0,0,0,0,0,0,16.04.2017,The Hawthorns,English Premier League,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0v1
Nyom,WBA,WBAvLIVERPOOL,0,0%,0,0,0,0,0%,0%,0,0,0,0,0,0,0,0,0,16.04.2017,The Hawthorns,English Premier League,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0v1
Marc Wilson,WBA,WBAvLIVERPOOL,0,0%,0,0,0,0,0%,0%,0,0,0,0,0,0,0,0,0,16.04.2017,The Hawthorns,English Premier League,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0v1
James Morrison,WBA,WBAvLIVERPOOL,0,67%,0,0,0,0,0%,100%,0,0,0,0,0,1,0,0,0,16.04.2017,The Hawthorns,English Premier League,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-1,-1,0v1
James McClean,WBA,WBAvLIVERPOOL,0,78%,0,3,0,3,0%,0%,0,0,0,0,0,1,0,0,0,16.04.2017,The Hawthorns,English Premier League,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,4,1,-23,0v1
Sam Field,WBA,WBAvLIVERPOOL,0,0%,0,0,0,0,0%,0%,0,0,0,0,0,0,0,0,0,16.04.2017,The Hawthorns,English Premier League,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0v1
Salom_n Rond_n,WBA,WBAvLIVERPOOL,0,75%,1,0,0,2,0%,20%,0,1,0,0,0,0,0,0,0,16.04.2017,The Hawthorns,English Premier League,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,5,6,-3,0v1
Simon Mignolet,LIVERPOOL,WBAvLIVERPOOL,0,44%,0,0,0,0,0%,100%,0,0,0,0,0,0,6,0,0,16.04.2017,The Hawthorns,English Premier League,1,1,0,1,1,5,7,9,13,16,17,16,18,17,17,19,22,22,26,30,49,0v1
Nathaniel Clyne,LIVERPOOL,WBAvLIVERPOOL,0,76%,0,3,0,2,50%,25%,4,4,0,0,9,0,0,0,0,16.04.2017,The Hawthorns,English Premier League,1,1,0,-1,-4,-3,-1,0,-1,1,0,5,8,8,12,15,19,20,25,23,30,0v1
Dejan Lovren,LIVERPOOL,WBAvLIVERPOOL,0,86%,0,0,0,0,100%,67%,1,5,0,0,1,0,0,0,0,16.04.2017,The Hawthorns,English Premier League,1,1,0,1,6,8,10,19,21,25,25,29,33,33,32,34,35,37,37,41,41,0v1
James Milner,LIVERPOOL,WBAvLIVERPOOL,1,69%,2,4,0,0,75%,75%,2,8,0,0,12,4,0,0,0,16.04.2017,The Hawthorns,English Premier League,1,1,0,0,2,3,5,7,9,9,11,30,11,11,9,13,23,26,27,25,58,0v1
Joel Matip,LIVERPOOL,WBAvLIVERPOOL,1,89%,0,0,0,2,75%,67%,3,5,1,0,0,1,0,0,0,16.04.2017,The Hawthorns,English Premier League,1,1,0,4,5,3,10,14,21,22,24,27,26,29,31,33,36,40,33,37,52,0v1
Georginio Wijnaldum,LIVERPOOL,WBAvLIVERPOOL,1,86%,1,0,0,3,0%,0%,2,4,0,0,0,1,0,0,0,16.04.2017,The Hawthorns,English Premier League,1,1,0,3,3,-2,-2,3,5,8,10,16,12,12,21,24,24,21,21,19,30,0v1
